id,fecha,neto,contrato_id,cod_bascula_id
1,2021-07-06,8920.0,8,4
2,2021-07-07,67880.0,28,14
3,2021-07-08,68400.0,24,12
4,2021-07-09,67420.0,28,14
5,2021-07-10,78860.0,28,14
6,2021-07-11,50880.0,12,6
7,2021-07-12,56300.0,26,13
8,2021-07-13,68000.0,26,13
9,2021-07-14,66740.0,28,14
10,2021-07-15,66660.0,24,12
11,2021-07-16,62400.0,28,14
12,2021-07-17,71400.0,24,12
13,2021-07-18,50160.0,12,6
14,2021-07-19,53900.0,24,12
15,2021-07-20,64900.0,26,13
16,2021-07-21,62740.0,24,12
17,2021-07-22,64960.0,24,12
18,2021-07-23,61460.0,26,13
19,2021-07-24,73540.0,26,13
20,2021-07-25,48440.0,12,6
21,2021-07-26,55080.0,24,12
22,2021-07-27,65260.0,26,13
23,2021-07-28,64980.0,28,14
24,2021-07-29,65440.0,26,13
25,2021-07-30,64360.0,26,13
26,2021-07-31,74560.0,26,13
27,2021-08-01,50600.0,12,6
28,2021-08-02,57500.0,24,12
29,2021-08-03,64960.0,24,12
30,2021-08-04,62160.0,24,12
31,2021-08-05,64080.0,24,12
32,2021-08-06,60340.0,24,12
33,2021-08-07,67760.0,24,12
34,2021-08-08,47240.0,12,6
35,2021-08-09,57220.0,26,13
36,2021-08-10,63980.0,24,12
37,2021-08-11,63080.0,26,13
38,2021-08-12,60320.0,24,12
39,2021-08-13,62220.0,26,13
40,2021-08-14,68680.0,24,12
41,2021-08-15,47380.0,12,6
42,2021-08-16,45500.0,20,10
43,2021-08-17,53740.0,24,12
44,2021-08-18,64540.0,26,13
45,2021-08-19,64680.0,28,14
46,2021-08-20,59680.0,26,13
47,2021-08-21,65420.0,24,12
48,2021-08-22,47380.0,12,6
49,2021-08-23,53440.0,24,12
50,2021-08-24,66960.0,28,14
51,2021-08-25,61060.0,26,13
52,2021-08-26,63780.0,24,12
53,2021-08-27,65500.0,28,14
54,2021-08-28,67720.0,24,12
55,2021-08-29,52300.0,14,7
56,2021-08-30,59200.0,26,13
57,2021-08-31,70000.0,28,14
58,2021-09-01,67800.0,26,13
59,2021-09-02,60800.0,16,8
60,2021-09-03,55160.0,26,13
61,2021-09-04,77160.0,24,12
62,2021-09-05,55200.0,14,7
63,2021-09-06,59800.0,26,13
64,2021-09-07,66710.0,26,13
65,2021-09-08,70920.0,26,13
66,2021-09-09,68420.0,24,12
67,2021-09-10,69140.0,28,14
68,2021-09-11,74540.0,28,14
69,2021-09-12,54700.0,12,6
70,2021-09-13,59580.0,24,12
71,2021-09-14,79220.0,30,15
72,2021-09-15,73980.0,24,12
73,2021-09-16,76490.0,26,13
74,2021-09-17,62560.0,26,13
75,2021-09-18,85760.0,28,14
76,2021-09-19,55140.0,12,6
77,2021-09-20,63680.0,24,12
78,2021-09-21,75400.0,28,14
79,2021-09-22,69740.0,26,13
80,2021-09-23,74300.0,26,13
81,2021-09-24,70820.0,26,13
82,2021-09-25,78720.0,26,13
83,2021-09-26,55600.0,12,6
84,2021-09-27,70200.0,26,13
85,2021-09-28,79320.0,28,14
86,2021-09-29,65240.0,26,13
87,2021-09-30,73780.0,24,12
88,2021-10-01,72360.0,28,14
89,2021-10-02,73940.0,22,11
90,2021-10-03,58040.0,12,6
91,2021-10-04,70300.0,26,13
92,2021-10-05,77900.0,24,12
93,2021-10-06,68300.0,26,13
94,2021-10-07,72080.0,24,12
95,2021-10-08,71780.0,26,13
96,2021-10-09,75940.0,24,12
97,2021-10-10,55340.0,12,6
98,2021-10-11,61820.0,26,13
99,2021-10-12,55520.0,12,6
100,2021-10-13,66320.0,26,13
101,2021-10-14,71740.0,26,13
102,2021-10-15,62740.0,24,12
103,2021-10-16,76300.0,26,13
104,2021-10-17,54540.0,12,6
105,2021-10-18,59100.0,24,12
106,2021-10-19,73000.0,24,12
107,2021-10-20,70020.0,26,13
108,2021-10-21,70280.0,26,13
109,2021-10-22,68740.0,26,13
110,2021-10-23,76940.0,26,13
111,2021-10-24,55860.0,12,6
112,2021-10-25,59000.0,24,12
113,2021-10-26,74060.0,26,13
114,2021-10-27,66380.0,24,12
115,2021-10-28,72360.0,26,13
116,2021-10-29,67580.0,24,12
117,2021-10-30,78940.0,26,13
118,2021-10-31,61420.0,12,6
119,2021-11-01,64180.0,26,13
120,2021-11-02,67800.0,28,14
121,2021-11-03,72820.0,32,16
122,2021-11-04,57280.0,12,6
123,2021-11-05,74240.0,30,15
124,2021-11-06,81800.0,28,14
125,2021-11-07,57140.0,12,6
126,2021-11-08,65980.0,32,16
127,2021-11-09,77560.0,32,16
128,2021-11-10,64780.0,26,13
129,2021-11-11,73320.0,30,15
130,2021-11-12,61860.0,26,13
131,2021-11-13,81760.0,32,16
132,2021-11-14,56720.0,12,6
133,2021-11-15,61700.0,30,15
134,2021-11-16,73280.0,32,16
135,2021-11-17,66580.0,32,16
136,2021-11-18,74540.0,36,18
137,2021-11-19,69640.0,28,14
138,2021-11-20,81480.0,32,16
139,2021-11-21,55840.0,12,6
