id,fecha,cantidad
1,2021-11-18,129
2,2021-11-20,75
3,2021-11-23,151
4,2021-11-25,148
5,2021-11-29,179
6,2021-12-02,143
7,2021-12-04,105
8,2021-12-09,156
9,2021-12-13,159
10,2021-12-13,157
11,2021-12-14,87
12,2021-12-16,144
13,2021-12-18,113
14,2021-12-21,113
15,2021-12-23,148
16,2021-12-24,35
17,2021-12-27,94
18,2021-12-29,122
19,2021-12-30,98
20,2022-01-03,136
21,2022-01-05,130
22,2022-01-08,116
23,2022-01-11,132
24,2022-01-20,149
25,2022-01-22,110
26,2022-01-25,138
27,2022-01-27,133
28,2022-01-29,113
29,2022-02-01,119
30,2022-02-03,107
